node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank
A BEN TAL,2,4479,,,,,1.0,2092
A LANGVARDT,4,2789,1.9202809755123373e-08,5121,0.0002849170936416435,4140,1.0,2092
"A. Sullivan, Michael A.",1,5900,0.0,5576,2.2145292683734293e-05,5547,1.0,2092
ABBOTT KELLER,3,3266,1.671353621220687e-07,4529,0.0032601936423114716,1661,1.0,2092
ABE FRIEDMAN,3,3266,2.2149710205317024e-06,3621,0.0001457817862707094,4600,1.0,2092
ABEL ELIZALDE,2,4479,1.0506507897206103e-07,4699,3.37695471855809e-05,5364,1.0,2092
ABIMANYU YOOPI,2,4479,7.880639215230217e-06,3283,4.1870478362552475e-05,5273,1.0,2092
ADAM LUBIN,3,3266,4.3541456422092514e-07,4166,0.0005806012742385945,3549,1.0,2092
ADAM ZARETSKY,3,3266,6.60691424314964e-07,3992,1.3271284229305115e-05,5678,1.0,2092
ADOLFO CORRALES,3,3266,7.531497729776467e-08,4829,0.0001459578651058456,4593,1.0,2092
AGUEDA MADOZ,2,4479,5.741163859544667e-06,3379,3.040084048731151e-05,5430,1.0,2092
AHMAD FUAD RAHMANY,2,4479,7.880639215230217e-06,3283,4.1870478362552475e-05,5273,1.0,2092
AINO LEVONMAA,1,5900,0.0,5576,0.00016969175627001682,4529,1.0,2092
AKIKO FUJIMOTO,4,2789,5.238367753146496e-07,4100,0.00300945487933202,1768,1.0,2092
AL KLEMKOVSKI,2,4479,1.4113163350291443e-08,5182,0.0012302976768979886,2784,1.0,2092
ALAN DOUGLAS HARRIS,1,5900,0.0,5576,0.0002400874887017895,4273,1.0,2092
ALAN SHAFFRAN,2,4479,5.085427399032902e-07,4115,0.0010656731052810986,2948,1.0,2092
ALBERTO NICCOLI,3,3266,2.881531686267061e-06,3554,3.385130095969139e-05,5355,1.0,2092
ALEJANDRO DIAZ DE LEON,2,4479,,,,,1.0,2092
ALEJANDRO GIL ORTIZ,1,5900,0.0,5576,0.0002400874887017895,4273,1.0,2092
ALEX REYFMAN,3,3266,8.18275327148006e-08,4801,0.001327783738960489,2676,1.0,2092
