node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank
AARON LEBOVITZ,1,2840,0.0,2612,0.003150109692667155,955,1.0,1001
ABHAY SHAH,2,1994,6.929796245167713e-07,2111,0.0002113286422178356,2337,1.0,1001
AJ SENCHACK,2,1994,0.0,2612,0.0011008642826352208,1652,1.0,1001
"AJINKYA, BIPIN B.",1,2840,0.0,2612,0.00031799731968737194,2200,1.0,1001
ALAN FRAGEN,3,1467,1.0477299268841807e-06,1988,0.0016351703719137281,1417,1.0,1001
ALAN KIMCHE,2,1994,3.491973698454103e-08,2458,3.484392989606582e-08,3340,1.0,1001
ALBERT HERMALIN,2,1994,2.4942669274672162e-08,2494,5.649919479203682e-05,2709,1.0,1001
ALEX HUMER,1,2840,0.0,2612,5.684856313880666e-05,2699,1.0,1001
ALEXANDRE AGANINE,1,2840,0.0,2612,0.0034494917081581682,905,1.0,1001
ALFONSO GUERRA,1,2840,0.0,2612,3.889030473403994e-06,3113,1.0,1001
ALI MUTLU,3,1467,9.090576568820857e-06,1706,4.3812310982466115e-06,3103,1.0,1001
ALLAN CAMPBELL,1,2840,0.0,2612,0.0002789417899032424,2245,1.0,1001
ALLAN EVERHART,1,2840,0.0,2612,0.0004751492012103322,2052,1.0,1001
AMY CHAN,2,1994,0.0,2612,0.0015841100747535778,1455,1.0,1001
ANASTASIOS ANASTASOPOULOS,2,1994,,,,,1.0,1001
ANDRAS LOEFFLER,2,1994,1.3864158213989558e-06,1930,0.000687585042935088,1892,1.0,1001
ANDY STURM,3,1467,9.446792636836868e-05,1403,2.7309680050756866e-05,2845,1.0,1001
ANDY WONG,3,1467,1.8838533139346143e-06,1906,0.002333436365033647,1151,1.0,1001
ANITA KELLY,1,2840,0.0,2612,0.003150109692667155,955,1.0,1001
ANJI REDISH,1,2840,0.0,2612,7.383731871879349e-08,3325,1.0,1001
ANNE FROBERG,3,1467,0.0001083141191656385,1369,3.442783019158808e-05,2797,1.0,1001
ART SNOW,1,2840,0.0,2612,1.417023852976718e-05,2933,1.0,1001
ASHOK VOHRA,3,1467,1.0781970412791946e-06,1979,0.0006415473352376083,1913,1.0,1001
ASHRAF GHANI,1,2840,0.0,2612,4.879956930653076e-07,3239,1.0,1001
"Aadland, David M.",2,1994,1.360817160499525e-07,2314,0.0011046294132573701,1640,1.0,1001
"Abarbanell, Jeffery S.",4,1231,1.0629166437618326e-06,1983,0.0019472406568101874,1305,1.0,1001
"Abel, Andrew B.",6,947,6.67426414385407e-05,1463,0.003682901722491706,883,3.0,433
"Aboody, David",13,491,0.0013925771269216226,657,0.008386744660246637,529,3.0,433
"Abreu, Dilip",5,1076,0.00023805014093865467,1217,0.01024521395042949,472,,
"Abrevaya, Jason",8,775,0.00024704681612480023,1212,0.013822112372426186,383,5.0,246
"Abu-Mostafa, Yaser S.",2,1994,1.2996493675181354e-06,1940,0.0007440088198167576,1855,1.0,1001
"Acemoglu, Daron",2,1994,4.491835330916394e-05,1532,0.0023963138341420906,1126,2.0,617
"Acerbi, Carlo",2,1994,0.0005908419497784343,967,0.00011131682307065237,2551,1.0,1001
"Acharya, Viral V.",20,276,0.0019900299058617475,528,0.013661269103018273,387,1.0,1001
"Ackermann, Carl",2,1994,0.0,2612,0.0019605382798878286,1300,1.0,1001
"Ackert, Lucy F.",3,1467,0.0001526592058472759,1297,0.000324317993440854,2197,,
"Adam, Tim R.",20,276,0.011130209552290193,57,0.015654712250296195,340,4.0,318
"Adams, Mike B.",6,947,,,,,,
"Adams, Robert M.",1,2840,0.0,2612,2.0809756953211134e-05,2881,1.0,1001
"Adler, Barry E.",1,2840,0.0,2612,0.00018481192231630704,2384,1.0,1001
"Admati, Anat R.",20,276,0.0013772109736848663,666,0.01383433775551365,382,5.0,246
"Affleck-Graves, John F.",3,1467,2.0673538689170698e-07,2273,0.001845175578729756,1341,2.0,617
"Aggarwal, Rajesh K.",33,108,0.013598147652478479,35,0.01984181304254458,257,2.0,617
"Aggarwal, Reena",18,321,0.004307199531508191,248,0.013264271923190804,398,,
"Aghion, Philippe",6,947,0.00013464225096920012,1323,0.00480853983885938,753,3.0,433
"Agrawal, Anup",12,540,0.000992114571960702,804,0.005846243424531605,671,5.0,246
"Ahmed, Anwer S.",1,2840,0.0,2612,0.00031799731968737194,2200,1.0,1001
"Ahmed, Parvez",2,1994,0.0005908419497784342,968,5.226646072648495e-06,3078,,
"Ahn, Dong Hyun",27,171,0.002681435570620054,415,0.012978844493137258,405,3.0,433
"Ahn, HeeJoon",6,947,5.94316641262824e-05,1487,0.0011766945345047116,1580,,
"Ailawadi, Kusum L.",3,1467,8.853467036852065e-07,2060,0.0030821060301325313,967,1.0,1001
"Aitken, Michael J.",2,1994,,,,,1.0,1001
"Akhavein, Jalal D.",3,1467,5.62678571982974e-06,1761,0.0008775357736901333,1767,1.0,1001
"Akhigbe, Aigbe O.",2,1994,,,,,,
"Al-Suhaibani, Mohammad I.",4,1231,,,,,,
"Alam, Ila M Semenick",4,1231,0.0013570013137577496,668,0.0007348052957306357,1863,,
"Albuquerque, Rui",3,1467,1.0106493521688542e-07,2342,0.002492828026099901,1072,1.0,1001
"Alesina, Alberto F.",1,2840,0.0,2612,0.0024759549780784653,1084,1.0,1001
"Alexander, Gordon J.",4,1231,0.00023474709182997314,1220,0.0025956743739906345,1056,,
"Alexandrou, George",2,1994,0.00015030706271530403,1298,1.0859221405827161e-05,2962,,
"Alizadeh, Sassan",16,375,0.0005777578245732787,990,0.004966284731646573,743,,
"Allayannis, George",25,187,0.004085714070522828,265,0.015231294868669663,351,3.0,433
"Allen, Franklin",41,55,0.00971502100017977,71,0.0428675787360775,78,20.0,18
"Allen, Jeffrey W.",2,1994,2.704825126480147e-07,2238,0.0008573853891302617,1777,1.0,1001
"Allen, Linda",9,701,0.0029209583340077624,380,0.0006399835068238756,1922,4.0,318
"Allen, William A.",3,1467,8.538550814827748e-05,1417,0.00029166579585743316,2228,2.0,617
"Almazan, Andres",17,345,0.003668001196578667,297,0.00984806238863898,488,2.0,617
"Almeida, Heitor V.",1,2840,0.0,2612,0.0005612171603479483,1986,1.0,1001
"Altig, David E.",1,2840,0.0,2612,7.159626297297219e-07,3231,1.0,1001
"Altinkiliç, Oya",11,598,0.0006720297321332449,915,0.007588050343863167,564,1.0,1001
"Altman, Edward I.",19,305,0.004852439678253017,215,0.005584983315927594,686,7.0,140
"Altunbaş, Yener",5,1076,0.0009409009222910746,818,5.0556085555880545e-05,2725,,
"Alvarez, Fernando E.",13,491,0.004592185751226053,233,0.0017124028805407807,1392,1.0,1001
"Amable, Bruno",2,1994,3.5407838273675756e-05,1563,0.00010158071538086289,2565,,
"Ambrose, Brent William",5,1076,0.0006198669899324481,943,0.0005229759561803698,2011,,
"Amemiya, Takeshi",2,1994,2.2312270260180702e-07,2262,0.001116165778266435,1628,1.0,1001
"Amihud, Yakov",30,143,0.005213691303326884,197,0.013655233069830684,388,16.0,23
"Amin, Kaushik I.",2,1994,0.0,2612,0.0010780258724224845,1668,1.0,1001
"Amin, Magdi",3,1467,1.2359029321287839e-06,1961,0.006634733374034947,631,1.0,1001
"Ammer, John",1,2840,0.0,2612,0.00022069934786637862,2319,1.0,1001
"Anand, Bharat N.",3,1467,7.812285246734034e-05,1448,0.0023091890939057444,1160,2.0,617
"Anandarajan, Asokan A.",2,1994,1.7459868492270516e-07,2289,1.0783326754826103e-05,2964,1.0,1001
"Andersen, Leif B.G.",4,1231,2.8528411364237357e-05,1592,0.001356122606242885,1527,1.0,1001
"Andersen, Torben G.",35,91,0.006481671641785686,126,0.01707685110525635,303,5.0,246
"Anderson, Christopher W.",6,947,0.001036576330495386,794,0.00010477578754879366,2557,2.0,617
"Anderson, Gary A.",3,1467,,,,,1.0,1001
"Anderson, Richard G.",2,1994,8.154710418079093e-05,1428,0.00057220841066244,1966,1.0,1001
"Anderson, Ronald C.",6,947,0.0011817109998288006,732,0.00022696121602486615,2308,,
"Anderson, Ronald W.",10,648,0.0023677104129731555,457,0.0047580268534320016,761,4.0,318
"Andrade, Gregor",1,2840,0.0,2612,0.0023373379019502372,1141,1.0,1001
"Andreasen, Jesper",6,947,6.083655564299453e-05,1480,0.0028509685479765246,1017,2.0,617
"Ang, Andrew",15,426,0.0007586560332141777,886,0.012435451431066528,414,1.0,1001
"Ang, James",4,1231,0.00012110206425086813,1349,0.0010784057292951383,1667,1.0,1001
"Angel, James J.",5,1076,6.097089212392005e-05,1478,0.003824625886562802,869,4.0,318
"Angelini, Paolo",8,775,0.0050881043995483575,205,0.0002583652206561598,2268,,
"Angeloni, Ignazio",2,1994,3.971705206691066e-05,1546,2.9823538309497175e-06,3149,1.0,1001
"Annaert, Jan",2,1994,0.0,2612,0.00014765845638623287,2472,1.0,1001
"Anshuman, V. Ravi",6,947,4.6535001240774445e-05,1527,0.005304865055635681,713,,
"Aoki, Masahiko",3,1467,7.96838586521517e-05,1444,0.0010468936282439232,1676,2.0,617
"Appleyard, Melissa M.",2,1994,3.491973698454103e-08,2458,2.1921607747845944e-05,2873,1.0,1001
"Appleyard, Tony R.",3,1467,,,,,1.0,1001
"Arachi, Giampaolo",2,1994,9.832815939230544e-05,1390,0.00023391957221124038,2295,1.0,1001
"Aragon, George O.",1,2840,0.0,2612,1.4578658295161367e-07,3295,1.0,1001
"Aranson, Peter H.",3,1467,2.095184219072462e-08,2525,0.00011885480821678768,2533,1.0,1001
"Arnold, Tom",4,1231,2.1988594302818115e-07,2265,0.000856586261009475,1781,1.0,1001
"Arora, Ashish",2,1994,0.0,2612,0.000950856630990532,1727,1.0,1001
"Arping, Stefan",2,1994,2.9099780820450858e-08,2479,5.078704543995593e-06,3083,1.0,1001
"Arya, Anil",2,1994,9.18940446961606e-09,2586,0.00018426155229730158,2388,1.0,1001
"Arzac, Enrique R.",2,1994,1.6828273291708904e-07,2303,0.0007005282907337345,1878,1.0,1001
"Asad, Talal",1,2840,0.0,2612,4.879956930653076e-07,3239,1.0,1001
"Athanasoulis, Stefano G.",7,868,0.0004823784205642723,1037,0.0002528726333235451,2269,,
"Athey, Susan",1,2840,0.0,2612,0.00015540425057287968,2446,1.0,1001
"Attanasio, Orazio P.",2,1994,8.221657717823642e-08,2362,0.0001295164586797453,2512,1.0,1001
