node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
"Bai, Jushan",2,1930,3.32025418803582E-08,2134,2.41823275610973E-06,3052,1,938,,
"Bailey, Martin J.",4,1218,6.7422211008931E-07,1734,3.92225126220445E-05,2787,1,938,,
"Bailey, Warren",25,197,0.0036011248,278,0.0155561686,329,6,176,1,298
"Baillie, Richard T.",1,2736,0,2399,1.33788309012367E-05,2929,1,938,,
"Baird, Douglas G.",3,1457,3.34347274879132E-08,2133,0.0060238571,714,2,556,,
"Baker, Alan R.H.",2,1930,,,,,1,938,,
"Baker, George P.",8,782,4.07124714142895E-05,1272,0.0090213386,541,5,230,,
"Baker, Malcolm P.",12,553,0.0013835947,614,0.0449849568,75,2,556,1,298
"Bakshi, Gurdip S.",47,37,0.0107850557,68,0.0195096275,265,1,938,2,112
"Balbás, Alejandro",6,956,0.0012475653,670,0.0007105701,1936,,,1,298
"Balduzzi, Pierluigi",16,403,0.001229509,677,0.0118350249,436,3,390,3,34
"Baldwin, Carliss Y.",2,1930,1.17185441930676E-08,2332,0.0007480365,1910,1,938,,
"Bali, Rakesh",11,598,0.0008203445,782,0.0020139854,1273,,,1,298
"Balistreri, Edward J.",1,2736,,,,,1,938,,
"Balke, Nathan S.",2,1930,1.66012709401791E-08,2274,4.0882545453925E-05,2779,1,938,,
"Ball, Clifford A.",13,503,0.000714591,808,0.0159548843,322,4,300,1,298
"Ball, Laurence M.",4,1218,0.0001766872,1088,0.0001356583,2554,,,1,298
"Ball, Ray",2,1930,0,2399,0.0045522712,829,2,556,,
"Baltensperger, Ernst",1,2736,0,2399,1.25350453998286E-06,3081,1,938,,
"Balvers, Ronald J.",6,956,0.0006305163,867,0.0002365456,2350,,,1,298
"Bamber, E. Michael",2,1930,2.49019064102687E-08,2172,0.0004873494,2092,1,938,,
"Bamber, Linda Smith",8,782,0.0009460732,742,0.00968914,513,,,1,298
"Bandopadhyaya, Arindam",1,2736,,,,,1,938,,
"Banerjee, Abhijit V.",2,1930,0,2399,0.0062743014,696,2,556,,
"Banerjee, Ajeyo",2,1930,,,,,1,938,,
"Bansal, Ravi",3,1457,8.34490552593003E-07,1686,0.0018599651,1314,2,556,,
"Barber, Brad M.",38,76,0.0034511092,290,0.094161654,19,10,68,2,112
"Barber, John",3,1457,7.15607408853938E-07,1708,0.0024348062,1158,1,938,,
"Barberis, Nicholas C.",19,316,0.0066080462,141,0.0462396613,72,6,176,2,112
"Barclay, Michael J.",36,83,0.0148020496,39,0.0623564598,43,11,54,3,34
"Bardos, Mireille",0,3397,,,,,,,1,298
"Barkai, Haim",2,1930,2.49019064102687E-08,2172,8.46529062396458E-08,3153,1,938,,
"Barlevy, Gadi",1,2736,0,2399,0.0020697338,1253,2,556,,
"Barnea, Amir",2,1930,6.16618634920939E-08,2068,0.0005456575,2046,1,938,,
"Barnett, William A.",3,1457,5.94978650929234E-05,1224,0.0023138712,1192,2,556,,
"Barone-Adesi, Giovanni",1,2736,0,2399,0.0017434385,1349,1,938,,
"Barrett, W. Brian",3,1457,5.43314321678589E-08,2075,0.0005582093,2034,1,938,,
"Barron, John M.",3,1457,,,,,,,1,298
"Barros, Pedro Pita",1,2736,,,,,1,938,,
"Barry, Christopher B.",13,503,0.0054040936,183,0.0183171733,288,6,176,,
"Barsky, Robert B.",1,2736,0,2399,4.76678789179549E-06,3000,1,938,,
"Barth, James R.",2,1930,0,2399,0.0028773011,1054,2,556,,
"Barth, Mary E.",2,1930,1.06199306749675E-07,1992,0.0008083435,1842,1,938,,
"Bartov, Eli L.I.",2,1930,0.00000001,2381,0.000200704,2417,1,938,,
"Baruch, Lev",8,782,0.0006604544,830,0.0034426664,969,,,1,298
"Baruch, Shmuel",2,1930,4.1256673630427E-08,2103,0.0016519723,1384,1,938,,
"Basak, Gopal K.",1,2736,0,2399,0.0006912292,1946,1,938,,
"Basak, Suleyman",13,503,0.0014450175,604,0.0039914819,894,2,556,2,112
"Basu, Sudipta",3,1457,1.10675139601194E-08,2354,0.0014505401,1463,2,556,,
"Batchelor, Roy A.",1,2736,,,,,1,938,,
"Bates, David S.",11,598,0.0008660705,764,0.0037488756,920,5,230,1,298
"Bateson, Richard D.",1,2736,0,2399,2.56130390940076E-06,3045,1,938,,
"Battalio, Robert H.",19,316,0.0021368122,462,0.0126140586,410,5,230,1,298
"Bauer, Gregory H.",6,956,0.0005216378,906,0.0036754003,927,4,300,,
"Baums, Theodor",1,2736,0,2399,0.0003900398,2184,1,938,,
"Bayless, Mark E.",3,1457,2.04283721133894E-06,1558,0.0001502697,2521,1,938,,
"Baytas, Ahmet",1,2736,,,,,,,1,298
"Beattie, Vivien A.",5,1065,,,,,,,1,298
"Beatty, Randolph P.",14,467,0.000810504,784,0.0082160015,588,3,390,1,298
"Beaudry, Paul",1,2736,0,2399,7.41461876376247E-07,3108,1,938,,
"Beaver, William H.",5,1065,0.000099327,1169,0.002341218,1186,2,556,,
"Bebchuk, Lucian A.",12,553,0.0003936021,964,0.0163726796,313,6,176,,
"Becchetti, Leonardo",8,782,0.0007573648,794,0.0002139279,2396,,,1,298
"Becht, Marco",4,1218,0.0005030534,913,0.0058726753,727,2,556,,
"Beck, Thorsten",2,1930,0,2399,0.0018223627,1325,,,1,298
"Becker, Connie",11,598,0.000681623,818,0.0032840028,990,,,1,298
"Becsi, Zsolt",2,1930,7.55911203476155E-07,1695,0.0002409637,2337,1,938,,
"Beetsma, Roel M.W.J.",8,782,0.0016067523,574,0.000022786,2872,,,1,298
"Beim, David O.",3,1457,5.75290993210163E-06,1451,0.001998843,1279,1,938,,
"Bekaert, Geert",28,158,0.0032401826,307,0.0175520536,294,9,82,2,112
"Benartzi, Shlomo",5,1065,5.00616723580808E-05,1244,0.0052272749,774,2,556,,
"Bencivenga, Valerie R.",4,1218,1.3886067796742E-05,1355,0.0010395694,1649,2,556,,
"Bennedsen, Morten",5,1065,9.96076256410747E-08,2001,0.0067678027,670,,,1,298
"Bennett, Rosalind L.",1,2736,0,2399,5.43610763663346E-05,2730,1,938,,
"Benston, George J.",20,288,0.0083351299,103,0.0138417097,376,9,82,,
"Benveniste, Lawrence M.",10,677,0.0009477314,740,0.0059107794,726,2,556,1,298
"Berentsen, Aleksander",6,956,0.0031535774,317,2.48722025581043E-05,2865,,,1,298
"Berg, Sigbjørn Atle",5,1065,0.0019270295,500,0.0022671207,1200,,,1,298
"Bergemann, Dirk",17,368,0.0042100224,245,0.0069615076,654,1,938,1,298
"Bergen, Mark E.",17,368,0.0047921567,207,0.0007743595,1889,,,1,298
"Berger, Allen N.",119,2,0.0744506668,2,0.0598303539,47,27,5,6,2
"Berger, Philip G.",13,503,0.0002824002,1027,0.0082143064,589,1,938,1,298
"Berger, Tommy",3,1457,0,2399,3.48671959339315E-06,3023,,,1,298
"Berglof, Erik",7,856,0.0002564356,1039,0.0025165327,1128,4,300,,
"Bergström, Clas",5,1065,4.53712734795095E-06,1484,0.0015858528,1416,3,390,,
"Berk, Jonathan B.",24,215,0.0004182706,954,0.0338497405,127,10,68,2,112
"Berkman, Henk",8,782,0.0007308944,803,0.0010186034,1667,1,938,1,298
"Berkovitch, Elazar",25,197,0.002430866,433,0.0132642905,390,6,176,1,298
"Berkowitz, Jeremy",1,2736,0,2399,0.000000585,3123,1,938,,
"Berlin, Mitchell",28,158,0.002751875,368,0.0188629762,274,7,142,3,34
"Bernanke, Ben S.",2,1930,0,2399,0.0108232245,475,3,390,,
"Bernard, Andrew B.",1,2736,0,2399,0.0042662059,854,1,938,,
"Bernardo, Antonio E.",18,342,0.0015136919,598,0.0255128155,195,5,230,1,298
"Bernhardt, Dan",3,1457,1.42296608058678E-08,2304,0.0003581413,2233,2,556,,
"Bernheim, B. Douglas",3,1457,0,2399,0.0126973108,405,4,300,,
"Bernholz, Peter",3,1457,0.0050377802,196,6.29591399987672E-05,2683,2,556,,
"Bertola, Giuseppe",7,856,0.0001591486,1101,0.0023806824,1178,2,556,1,298
"Bertrand, Marianne",1,2736,0,2399,0.0042662059,854,1,938,,
"Bertsimas, Dimitris J.",7,856,5.96537136904289E-05,1222,0.0033248912,984,,,1,298
"Bessembinder, Hendrik",25,197,0.0112501064,63,0.0264900748,189,9,82,1,298
"Bessler, Wolfgang",4,1218,0.0001284647,1130,0.0013940471,1483,,,1,298
"Bester, Helmut",2,1930,2.49019064102687E-08,2172,1.57366073562179E-05,2909,1,938,,
"Bethel, Jennifer E.",21,270,0.0020000666,485,0.0147496416,355,3,390,1,298
"Betker, Brian L.",1,2736,0,2399,0.0014389028,1464,1,938,,
"Bettis, J. Carr",13,503,0.0015250584,595,0.0102186739,499,,,1,298
"Betton, Sandra",21,270,0.0006984009,814,0.0216696123,234,,,1,298
"Betts, Caroline M.",1,2736,0,2399,3.72122621680827E-07,3141,,,1,298
"Bewley, Ronald A.",2,1930,3.32025418803582E-08,2134,5.48952172453729E-08,3159,1,938,,
"Bhagat, Sanjai",8,782,8.77881088818E-05,1184,0.0024266339,1169,3,390,,
"Bhargava, Rahul",1,2736,0,2399,3.23584202101974E-05,2826,,,1,298
"Bhattacharya, Utpal",25,197,0.0048152726,204,0.0051491271,778,2,556,1,298
"Bhattacharyya, Sugato",45,43,0.0127570138,55,0.0304543416,148,4,300,3,34
"Bhidé, Amar V.",2,1930,1.17185441930676E-08,2332,0.0007480365,1910,1,938,,
"Biais, Bruno",31,118,0.0093808108,85,0.012205321,421,8,110,1,298
"Bick, Avi",1,2736,0,2399,0.0001836513,2455,1,938,,
"Bickel, Peter J.",3,1457,0.000000937,1677,0.0025676597,1117,1,938,,
"Biddle, Gary C.",2,1930,5.01114587505477E-08,2083,0.0007720752,1892,1,938,,
"Bierman, Harold",5,1065,1.28495205980292E-05,1364,0.0025626943,1120,2,556,,
"Bierwag, Gerald O.",2,1930,2.17133250167781E-07,1869,0.0002393344,2340,1,938,,
"Billett, Matthew T.",26,185,0.0048042362,206,0.028613945,167,3,390,2,112
"Binder, Michael",1,2736,0,2399,1.52806627878961E-06,3068,1,938,,
"Birchler, Urs W.",12,553,0.005935763,164,0.0096582703,515,2,556,1,298
"Bisignano, Joseph",2,1930,0,2399,0.0004048134,2168,1,938,,
"Bisière, Christophe",2,1930,1.49411438461612E-07,1928,0.0003856555,2202,1,938,,
"Bittlingmayer, George",3,1457,0.0006313236,850,0.0042004488,871,1,938,2,112
"Bizer, David S.",8,782,0.0005841538,885,0.0021872583,1222,,,1,298
"Bizjak, John M.",13,503,0.0015991728,579,0.0037979614,917,6,176,,
"Black, Bernard S.",18,342,0.0029564457,338,0.0085295062,565,,,1,298
"Black, Fischer",3,1457,6.64050837607165E-07,1746,0.0056155623,741,2,556,,
"Black, Harold A.",3,1457,,,,,1,938,,
"Blackwell, David W.",9,724,0.0013900997,612,0.0044553565,835,4,300,,
"Blake, Christopher R.",4,1218,2.03573710894555E-06,1565,0.0057497358,733,3,390,,
"Blanchard, Olivier Jean",11,598,0.0204354569,24,0.022911995,220,6,176,,
"Blazenko, George W.",1,2736,0,2399,0.0001836513,2455,1,938,,
"Blaško, Matej",2,1930,4.38471228762822E-06,1487,0.0002056969,2406,1,938,,
"Blinder, Alan S.",1,2736,0,2399,0.00002991,2840,1,938,,
"Bliss, Robert R.",5,1065,5.25474063817418E-05,1239,0.003795747,918,2,556,,
"Bloomfield, Robert J.",12,553,0.0003363689,985,0.0078989687,601,1,938,3,34
"Blum, Jürg M.",6,956,0.0025269862,412,0.0001525973,2514,,,1,298
"Blume, Marshall E.",9,724,0.0001914437,1078,0.0060115944,718,3,390,1,298
"Board, John L.G.",5,1065,0.0041523932,247,0.0022700262,1197,2,556,,
"Bodnar, Gordon M.",3,1457,0,2399,0.0049318028,797,2,556,,
"Boebel, Richard B.",2,1930,0,2399,0.0007590412,1903,1,938,,
"Boehm, Thomas P.",6,956,,,,,,,1,298
"Boehmer, Beatrice",1,2736,0,2399,0.0003900398,2184,1,938,,
"Boehmer, Ekkehart",18,342,0.0050489797,194,0.00775334,609,1,938,1,298
"Bohn, Henning",0,3397,,,,,,,1,298
"Bohn, James G.",2,1930,1.81104773892863E-08,2250,0.0002116927,2398,1,938,,
"Boldin, Michael",2,1930,9.98922188571921E-06,1389,5.54170756527043E-05,2703,2,556,,
"Bollen, Kenneth Alan",1,2736,,,,,1,938,,
"Bollerslev, Tim",12,553,0.0002121896,1057,0.0070612603,645,4,300,1,298
"Bolton, Patrick",30,139,0.0033917163,295,0.020678908,248,11,54,1,298
"Bomfim, Antúlio N.",1,2736,0,2399,3.76287523795409E-07,3140,,,1,298
"Bonaccorsi di Patti, Emilia",2,1930,0,2399,0.0025138117,1130,1,938,,
"Bond, Stephen R.",3,1457,7.83312789064903E-07,1693,0.0014999322,1440,1,938,,
"Bondarenko, Oleg",2,1930,0,2399,0.0003885785,2201,,,1,298
"Boni, Leslie",2,1930,1.43729720064973E-07,1937,0.0010005085,1678,1,938,,
"Bonime, Seth D.",15,432,0.0023611241,438,0.0115089424,448,2,556,1,298
"Bonnier, Karl Adam",1,2736,0,2399,0.0001280526,2569,1,938,,
"Bonser-Neal, Catherine",1,2736,0,2399,3.58679688253409E-06,3016,1,938,,
"Boone, Peter D.",19,316,0.002563993,399,0.0110451809,466,,,1,298
"Boot, Arnoud W. A.",26,185,0.0125894953,57,0.0286765333,166,5,230,6,2
"Booth, James R.",3,1457,1.96353548823408E-07,1884,0.0009577448,1731,1,938,,
"Booth, Laurence D.",2,1930,0,2399,0.0005854287,2011,2,556,,
"Bordo, Michael David",10,677,0.0077288693,114,0.0019007257,1310,5,230,,
"Borokhovich, Kenneth A.",3,1457,0,2399,0.0008911532,1771,,,1,298
"Borrmann, Jörg",2,1930,4.97745498348102E-07,1793,0.001490427,1443,1,938,,
"Bortolotti, Bernardo",2,1930,3.21314921422822E-09,2396,0.0008268699,1820,1,938,,
"Bos, Ted",3,1457,1.28819477391582E-07,1953,0.000819742,1826,1,938,,
"Bosch, Jean Claude",2,1930,,,,,1,938,,
"Bose, Subir",2,1930,4.90964070293188E-06,1470,0.0007848308,1865,1,938,,
"Bossaerts, Peter",28,158,0.0086937589,96,0.0060379662,713,8,110,2,112
"Bostic, Raphael W.",11,598,0.0001840861,1082,0.0063537575,693,1,938,2,112
"Boubakri, Narjess",18,342,0.0005450294,897,0.0031472161,1014,1,938,1,298
"Boudoukh, Jacob",17,368,0.0020548566,477,0.021819168,232,6,176,2,112
"Boudreaux, Donald J.",10,677,0.0089409022,90,2.02323651125279E-05,2893,,,1,298
"Boutchkova, Maria K.",2,1930,3.21314921422822E-09,2396,0.0008268699,1820,1,938,,
"Bouwman, Christa H.S.",2,1930,0,2399,0.0028141725,1064,2,556,,
"Bowen, Robert M.",3,1457,7.15607408853938E-07,1708,0.0024348062,1158,1,938,,
