node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank
A BASAK,2,2737,3.771721437796013e-07,2929,0.0008878558522312177,2221,1.0,1399
"A. Sullivan, Michael A.",2,2737,1.1295820730985915e-07,3112,0.00031334570436550345,2814,1.0,1399
ADAM GILESKI,3,2056,3.115437553858127e-08,3253,0.0002176317672278243,3027,1.0,1399
ADAM NUNES,3,2056,2.2894430876583845e-07,3016,0.003147344319081736,1381,1.0,1399
AGOSTINO FUSCONI,1,3818,0.0,3562,4.734889755111771e-06,4090,1.0,1399
AKIHIRO KANAYA,1,3818,0.0,3562,5.616815510738934e-05,3617,1.0,1399
AKIRA ARIYOSHI,1,3818,0.0,3562,5.616815510738934e-05,3617,1.0,1399
AKIRA IEDA,1,3818,0.0,3562,9.547480826780329e-05,3393,1.0,1399
ALAIN BUTERY,1,3818,,,,,1.0,1399
ALEX URBINA,4,1758,6.9508684246933266e-06,2292,0.00025087156207706664,2933,1.0,1399
ALEXANDER CAPPELLO,2,2737,1.7716779468880812e-06,2580,0.0005518952315828526,2471,1.0,1399
ALEXANDRE AGANINE,1,3818,0.0,3562,0.000472052975116077,2581,1.0,1399
ALFRED PLOTKIN,1,3818,0.0,3562,0.00046928500246677283,2584,1.0,1399
ALLAN BROWN,1,3818,0.0,3562,1.0078238162540901e-05,3995,1.0,1399
AM TARANTOLA,3,2056,5.192395923096878e-08,3193,3.099388194285461e-06,4174,1.0,1399
AMAR MOITON,3,2056,,,,,1.0,1399
AMIT ARORA,1,3818,0.0,3562,0.0004228075387553899,2634,1.0,1399
AMY CHAN,3,2056,1.888143972035228e-09,3549,0.002852257534761118,1438,1.0,1399
ANDRE STERN,3,2056,1.4931098437598785e-06,2627,0.0008784533197013938,2229,1.0,1399
ANDREAS GINTSCHEL,2,2737,0.0,3562,0.002015161018618136,1694,3.0,573
ANDREI DRAGANESCU,1,3818,,,,,1.0,1399
ANDREI EVTIMOV,1,3818,0.0,3562,0.0001624156439113979,3172,1.0,1399
ANDREI KHINCHUK,3,2056,5.3019008768471145e-06,2339,0.0042899879271463895,1153,1.0,1399
ANDREW HAUSER,3,2056,2.0336884032129434e-08,3320,4.855884612096146e-05,3682,1.0,1399
ANDY LUTZ,3,2056,9.496400914949146e-08,3128,0.005090711581287429,1019,1.0,1399
ANNA MEYENDORFF,2,2737,5.243999299841741e-08,3182,0.0012057468096624217,2002,1.0,1399
ANNA SANZ DE GALDEANO,2,2737,1.153865760688195e-08,3380,2.2460181880915553e-05,3849,1.0,1399
ANNA TRAVIS,3,2056,1.0024195920581199e-05,2215,5.339046708769698e-05,3649,1.0,1399
ANNE VALETTE,1,3818,0.0,3562,1.0078238162540901e-05,3995,1.0,1399
ANTHONY MARCIANO,1,3818,0.0,3562,0.00056120666856816,2456,1.0,1399
ANTHONY NEOH,3,2056,1.8459158283684255e-06,2558,0.0010529790430053674,2109,1.0,1399
ANU ARRO,4,1758,6.9508684246933266e-06,2292,0.00025087156207706664,2933,1.0,1399
AR RADHAKRISHNAN,2,2737,6.471151982777568e-07,2803,0.00055405410791187,2465,1.0,1399
ARCHISMAN CHAKRABORTY,3,2056,4.1140089724190596e-07,2917,0.00034847874714063505,2742,1.0,1399
ARI WEINBERGER,2,2737,4.4225621538904856e-07,2898,0.005283807136813826,993,1.0,1399
ART DENZAU,2,2737,5.769328803440975e-09,3509,0.00042042802529120374,2644,1.0,1399
ART GOLDSMITH,1,3818,0.0,3562,0.00017318846539341262,3144,1.0,1399
"ASQUITH, PAUL",16,556,0.0007670784237330171,1037,0.017422782167792347,354,,
ATINDRA BARUA,2,2737,8.534111048206843e-08,3132,0.001330472525992587,1930,1.0,1399
AV SEKHAR,4,1758,6.9508684246933266e-06,2292,0.00025087156207706664,2933,1.0,1399
"Aadland, David M.",3,2056,1.6872443948109218e-06,2603,1.1423140614337332e-05,3983,1.0,1399
"Abadie, Alberto",1,3818,0.0,3562,0.00017756269681076084,3133,1.0,1399
"Abadir, Karim Maher",2,2737,3.279407951429607e-08,3246,0.00027828358418132733,2884,1.0,1399
"Abarbanell, Jeffery S.",5,1527,4.042546773058304e-05,1978,0.003667662047836044,1275,2.0,840
"Abate, James A.",3,2056,,,,,1.0,1399
"Abel, Andrew B.",7,1234,3.6204062583317015e-05,1999,0.0039018463402110985,1233,4.0,422
"Aboody, David",3,2056,3.01272932577419e-07,2970,0.006409744697059952,873,1.0,1399
"Abrams, Burton A.",1,3818,0.0,3562,1.4894648034132657e-05,3949,1.0,1399
"Abreu, Dilip",2,2737,0.0,3562,0.003740769614513,1256,1.0,1399
"Acemoglu, Daron",5,1527,3.979386297554272e-06,2375,0.005371538765985901,983,2.0,840
"Acerbi, Carlo",3,2056,0.0018215271057952051,596,7.709878653136738e-07,4292,2.0,840
"Acharya, Viral V.",59,35,0.017857361011228996,15,0.06423233043824511,46,10.0,94
"Acito, Franklin",1,3818,0.0,3562,0.00028800009514114134,2867,1.0,1399
"Ackermann, Carl",1,3818,0.0,3562,1.512224873692096e-06,4252,1.0,1399
"Ackert, Lucy F.",9,1032,0.0013962048764768413,715,0.00028665113023934683,2868,2.0,840
"Adam, Tim R.",6,1360,9.200563777456692e-05,1801,0.0027316810770567686,1463,3.0,573
"Adams, Renée Birgit",19,412,0.0011651154172283137,814,0.01084899801955216,586,1.0,1399
"Adams, Robert M.",5,1527,3.196310377723615e-06,2411,0.0006509149749553007,2389,1.0,1399
"Admati, Anat R.",8,1145,9.088259290296676e-05,1804,0.007924984271151025,736,4.0,422
"Affleck-Graves, John F.",6,1360,7.579143808340087e-05,1838,0.0029223723777341034,1424,3.0,573
"Agarwal, Vikas",30,181,0.0022562900831706607,475,0.019437603325772823,314,1.0,1399
