node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
"(James) Huang Z., Zhijian",3,3257,,,,,,,1,704
A BEN TAL,2,4410,,,,,1,1984,,
A LANGVARDT,4,2798,1.044535524825E-07,3965,6.3021286314022E-05,4842,1,1984,,
"A. Sullivan, Michael A.",1,5841,0,5087,3.1110445848522E-05,5120,1,1984,,
ABIMANYU YOOPI,2,4410,7.22829023465538E-05,2390,2.83960783890095E-06,5828,1,1984,,
ABRAHAM THOMAS,3,3257,4.73571601914898E-06,3041,0.0014947253,2321,1,1984,,
ADAM GILESKI,3,3257,1.22320876460417E-07,3924,0.0001428227,4339,1,1984,,
ADAM LUBIN,3,3257,1.83856506883984E-06,3277,0.0005790096,3301,1,1984,,
ADOLFO CORRALES,3,3257,5.49329283327671E-08,4133,0.0001040974,4542,1,1984,,
AGUEDA MADOZ,2,4410,8.09978812908289E-05,2337,0.000004786,5723,1,1984,,
AHMAD FUAD RAHMANY,2,4410,7.22829023465538E-05,2390,2.83960783890095E-06,5828,1,1984,,
AHMED NAGI,2,4410,0.000000004,4797,1.86880908470426E-05,5355,1,1984,,
AINO LEVONMAA,1,5841,0,5087,0.0003499774,3732,1,1984,,
AKIKO FUJIMOTO,4,2798,0.000001715,3295,0.0012175092,2577,1,1984,,
ALAN RICHERT,2,4410,0,5087,0.0007461139,3058,1,1984,,
ALAN SHAFFRAN,2,4410,8.3843336368726E-08,4017,0.0013713803,2433,1,1984,,
ALBERTO NICCOLI,3,3257,2.25119180908363E-08,4362,8.4788310437942E-08,6081,1,1984,,
ALEX REYFMAN,3,3257,3.76763652642372E-08,4252,0.0009011534,2909,1,1984,,
ALEXANDRA WEST,3,3257,1.86067653698904E-07,3804,0.0003156628,3852,1,1984,,
ALFREDO FERREIRA,1,5841,,,,,1,1984,,
ALLEN SEWARD,1,5841,,,,,1,1984,,
ALPO KUPARINEN,2,4410,6.47877994708818E-05,2415,2.34679878496167E-06,5871,1,1984,,
AMANDA MCCLAIN,2,4410,0.000000004,4797,0.0003307945,3786,1,1984,,
AMR ADDAS,3,3257,3.35186193019153E-08,4262,0.0008699117,2951,1,1984,,
AMY PETRIELLO,2,4410,1.05055617757236E-08,4547,4.05695767464721E-07,6023,1,1984,,
ANASTASIOS PLATANIOTIS,3,3257,4.3168074306374E-08,4201,5.21261229742232E-05,4939,1,1984,,
ANDERSON SILVA,3,3257,7.36026502384725E-06,2969,0.0010907165,2673,1,1984,,
ANDRE KURMAN,2,4410,3.28298805491362E-09,4886,9.62864033798517E-05,4598,1,1984,,
ANDRE WENT,2,4410,2.02030034148531E-08,4413,0.0001249728,4424,1,1984,,
ANDREAS SAVVA,2,4410,2.10111235514472E-09,5032,0.0003937683,3636,1,1984,,
ANDREAS SCHOENENBERGER,2,4410,5.15081749559194E-07,3557,1.96321151102078E-05,5315,1,1984,,
ANDREI SARYCHEV,1,5841,0,5087,0.000045697,5013,1,1984,,
ANDREW CAFFREY,3,3257,8.05744954547915E-07,3481,0.000536604,3375,1,1984,,
ANDREW DEXTER,2,4410,0,5087,0.0008849268,2919,1,1984,,
ANDREW DUBINSKY,1,5841,0,5087,0.0008743415,2943,1,1984,,
ANDREW GRACIE,2,4410,0,5087,0.0047538489,1212,2,1206,,
ANDREW GUSTAR,3,3257,3.06239049857906E-07,3675,3.32975628257239E-05,5086,1,1984,,
ANDREW HARMSTONE,2,4410,,,,,1,1984,,
ANDRIS NOBL,3,3257,5.58739182219054E-08,4111,0.0016010615,2216,1,1984,,
ANDY STURM,3,3257,4.05111335924597E-07,3603,0.0002830972,3933,1,1984,,
ANDY WONG,1,5841,0,5087,0.0031852221,1581,1,1984,,
ANJO KOETER-KANT,2,4410,0,5087,0.0003827652,3671,1,1984,,
ANN BRADENTON,3,3257,8.64830143653952E-07,3442,0.0004596401,3492,1,1984,,
ANNA CALAMIA,2,4410,2.30855154832524E-07,3738,0.0003836204,3668,1,1984,,
ANNA LUSARDI,2,4410,1.1739169408479E-07,3939,0.0001183866,4473,1,1984,,
ANNA MEYENDORFF,2,4410,9.19236655375814E-08,3992,1.86786140070753E-05,5364,1,1984,,
ANNA RENDINA,2,4410,3.08987111050694E-09,4908,2.22623537114398E-05,5247,1,1984,,
ANNE BAGUETTE,2,4410,3.75198634847271E-09,4827,4.46406762800061E-08,6117,1,1984,,
ANNETTE VIS,2,4410,5.39348037592952E-09,4740,0.0010328981,2738,1,1984,,
