node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank
A SPERO,1,2545,0.0,2358,0.00027134384850693166,2206,1.0,908
ABBOTT KELLER,2,1746,0.0,2358,0.0034770066711040776,955,1.0,908
ADAM APTER,1,2545,0.0,2358,0.0005454292220092791,1911,1.0,908
ADAM DUNSBY,4,1116,7.077474043710027e-05,1274,0.0015893933799462354,1336,2.0,540
AL FANSOME,2,1746,2.240791911007449e-06,1606,0.003642225600098996,910,1.0,908
AL HERLANDS,2,1746,3.7435492670023355e-07,1898,0.0001763674761438619,2313,1.0,908
ALASTAIR CRAIG,2,1746,3.272268515899759e-07,1949,0.00011315552728961343,2421,1.0,908
ALEJANDRO BERUETE,2,1746,3.443211928095347e-07,1923,0.0034569059677522266,968,1.0,908
"ALESSI, LOUIS DE",1,2545,0.0,2358,5.111638627518432e-05,2586,1.0,908
ALFRED BUHLER,3,1323,8.215160981008519e-08,2096,4.035738915903728e-05,2647,1.0,908
ALGIS REMEZA,2,1746,3.272268515899759e-07,1949,0.00011315552728961343,2421,1.0,908
ALLEN HUFFMAN,1,2545,0.0,2358,0.0010229599858273518,1591,1.0,908
ANAND GUPTA,4,1116,5.961502651851216e-07,1816,0.006625032158044029,641,1.0,908
ANDREAS RAMSAUER,1,2545,0.0,2358,6.415097908410094e-05,2532,1.0,908
ANDREI TASKIN,4,1116,2.701696566069942e-06,1581,0.0006366517944796892,1853,1.0,908
ANDREW JOHNSON,1,2545,0.0,2358,4.763315485945751e-08,3003,1.0,908
ANDY BRUNSON,3,1323,1.6430321962017038e-07,2023,8.353693111444996e-06,2809,1.0,908
ANDY MORTON,2,1746,3.953498480764808e-06,1554,0.0006310449254827411,1859,1.0,908
ANNE-LOUISE STATT,1,2545,0.0,2358,1.8394048254260475e-05,2746,1.0,908
ANTHONY MARCIANO,1,2545,0.0,2358,0.0006899126959811772,1788,1.0,908
ANTOINE KOTZE,3,1323,2.2036909439347187e-06,1610,0.0003423286479822438,2114,1.0,908
ARNOLD JUSTER,4,1116,6.209652906820806e-05,1286,0.002060810276795113,1194,3.0,369
ARTHUR MEZHLUMIAN,2,1746,1.7562551847072625e-05,1413,0.0013014693419618106,1468,1.0,908
"Aarstol, Michael P.",1,2545,0.0,2358,1.1014256271383775e-06,2941,1.0,908
"Abarbanell, Jeffery S.",1,2545,0.0,2358,0.000420958062345384,2005,1.0,908
"Abowd, John M.",1,2545,0.0,2358,0.00015688438928316927,2352,1.0,908
"Abreu, Dilip",2,1746,1.4604730632904035e-08,2286,0.0003475979461970167,2087,1.0,908
"Acharya, Viral V.",1,2545,0.0,2358,6.141106427311771e-05,2546,1.0,908
"Ackermann, Carl",13,435,0.0019792845780747196,490,0.018233913636028717,278,1.0,908
"Ackert, Lucy F.",4,1116,3.2860643924034076e-07,1939,5.773497527237837e-05,2551,1.0,908
"Adams, Renée Birgit",2,1746,0.0,2358,0.001531761978006741,1367,1.0,908
"Adler, Barry E.",1,2545,0.0,2358,0.001640195058176047,1294,1.0,908
"Adler, Michael",3,1323,0.0023554841861090515,421,0.0010969410141611446,1557,2.0,540
"Admati, Anat R.",5,969,0.0007947714254810138,787,0.008068976475625798,562,3.0,369
"Advani, Asheesh",4,1116,5.961502651851216e-07,1816,0.006625032158044029,641,1.0,908
"Affleck-Graves, John F.",10,575,0.0010246620777961141,712,0.010468778155040144,478,2.0,540
"Agell, Jonas",1,2545,0.0,2358,1.6837055234742105e-07,2987,1.0,908
"Aggarwal, Rajesh K.",20,236,0.003481151001549887,288,0.006691882210713628,640,2.0,540
"Aggarwal, Reena",8,696,0.0016412781354504513,559,0.013419912383885518,380,,
