node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank
"(James) Huang Z., Zhijian",2,3726,,,,,,
A BEN TAL,2,3726,,,,,1.0,1766
A GAYTAN,2,3726,3.424361324859745e-08,4209,0.00010466863076297468,4178,1.0,1766
A LANGVARDT,4,2316,2.496001896207637e-07,3808,0.0003775959409897354,3369,1.0,1766
"A. Sullivan, Michael A.",1,5041,0.0,4769,2.71490214211534e-06,5222,1.0,1766
ABRAHAM THOMAS,3,2717,3.759490335840868e-06,3029,0.0021889665234657327,1942,1.0,1766
ADAM GILESKI,3,2717,7.310746198163325e-07,3476,0.00026839238071953354,3602,1.0,1766
ADAM LUBIN,3,2717,5.284447345528241e-06,2932,0.0016006428344932857,2246,1.0,1766
AHMED NAGI,2,3726,5.439200185193888e-09,4591,2.7590766275076034e-05,4698,1.0,1766
AKIKO FUJIMOTO,4,2316,5.509734129684945e-07,3564,0.005197329294552429,1147,1.0,1766
AKIKO MITSUI,3,2717,8.027988374060036e-06,2866,0.0016257332354005596,2230,1.0,1766
ALAN PETERSEN,2,3726,5.020800170948205e-09,4623,1.9280687888660372e-05,4823,1.0,1766
ALAN RICHERT,2,3726,8.875812134592833e-08,4063,0.001282822829605045,2488,1.0,1766
ALAN SHAFFRAN,2,3726,9.81353641990619e-07,3374,0.0015422966359824554,2299,1.0,1766
ALBERTO NICCOLI,3,2717,2.797302952385428e-08,4254,5.5652066093084986e-08,5494,1.0,1766
ALEXANDRA WEST,3,2717,4.10755094734202e-07,3665,0.0009571225164569132,2722,1.0,1766
ALFREDO FERREIRA,1,5041,,,,,1.0,1766
ALFREDO LARREA-FALCONY,3,2717,2.0012079102759298e-07,3875,0.004788850142463751,1230,1.0,1766
ALLEN SEWARD,1,5041,0.0,4769,5.205725118639695e-07,5381,1.0,1766
ALPO KUPARINEN,2,3726,9.026896627347777e-05,2277,1.4212681676893924e-06,5321,1.0,1766
AMY PETRIELLO,2,3726,,,,,1.0,1766
ANDRE WENT,2,3726,2.7196000925969444e-08,4267,0.0001732354728494951,3851,1.0,1766
ANDREA PEDERZOLLI,1,5041,0.0,4769,0.0008009103370719343,2869,1.0,1766
ANDREAS SCHOENENBERGER,2,3726,0.0,4769,5.734959920656052e-05,4423,1.0,1766
ANDREI SARYCHEV,1,5041,0.0,4769,9.920006280923904e-06,4973,1.0,1766
ANDREI ZAVIDONOV,2,3726,7.2522669135918506e-09,4531,6.325265571754948e-05,4385,1.0,1766
ANDREW CLASTER,1,5041,0.0,4769,0.0015483829258707762,2288,1.0,1766
ANDREW DEXTER,2,3726,3.2313795926835886e-07,3740,0.0011925290198191581,2544,1.0,1766
ANDREW GRACIE,2,3726,0.0,4769,0.004604912016421347,1258,2.0,1048
ANDREW GUSTAR,3,2717,1.1878675628526711e-07,3981,0.0001378856631795085,4030,1.0,1766
ANDREW MARQUEZ,1,5041,0.0,4769,0.0006528890546677709,3018,1.0,1766
