node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,papers,papers_rank
"ASQUITH, PAUL",4,65,,,,,2.0,129
"Acharya, Viral V.",1,939,,,,,2.0,129
"Ackert, Lucy F.",1,939,,,,,1.0,427
"Adams, Renée Birgit",2,346,,,,,1.0,427
"Adams, Robert M.",2,346,,,,,1.0,427
"Agarwal, Vikas",1,939,,,,,1.0,427
"Aggarwal, Rajesh K.",1,939,,,,,2.0,129
"Aggarwal, Reena",2,346,,,,,2.0,129
"Agrawal, Deepak",3,149,,,,,1.0,427
"Aguerrevere, Felipe L.",0,1605,,,,,1.0,427
"Ahn, Dong Hyun",2,346,0.0,69,0.002273413165777616,44,1.0,427
"Ahn, HeeJoon",3,149,,,,,1.0,427
"Ahn, Seoungpil",1,939,0.0,69,1.1054642995053105e-07,127,1.0,427
"Aivazian, Varouj A.",2,346,,,,,1.0,427
"Akhigbe, Aigbe O.",2,346,,,,,2.0,129
"Alexander, Carol O.",0,1605,,,,,1.0,427
"Ali, Ashiq",2,346,,,,,1.0,427
"Allayannis, George",3,149,,,,,2.0,129
"Allen, Franklin",3,149,,,,,2.0,129
"Allen, Linda",4,65,,,,,2.0,129
"Almazan, Andres",4,65,,,,,3.0,42
"Almeida, Heitor V.",5,27,,,,,3.0,42
"Alti, Aydoǧan",0,1605,,,,,2.0,129
"Altinkiliç, Oya",1,939,,,,,1.0,427
"Altman, Edward I.",1,939,,,,,1.0,427
"Amato, Jeffery D.",1,939,,,,,1.0,427
"Amel, Dean F.",3,149,,,,,1.0,427
"Amihud, Yakov",5,27,,,,,3.0,42
"Ammann, Manuel",2,346,,,,,1.0,427
"Anari, Ali",2,346,,,,,1.0,427
"Andersen, Torben M.",1,939,,,,,1.0,427
"Anderson, Christopher W.",2,346,,,,,1.0,427
"Anderson, Dwight C.",2,346,,,,,1.0,427
"Anderson, Evan W.",2,346,,,,,1.0,427
"Anderson, Ronald C.",3,149,0.045438282647584975,39,0.000102353643185084,82,3.0,42
"Andersson, Magnus",1,939,,,,,1.0,427
"Andricopoulos, Ari D.",3,149,,,,,1.0,427
"Andrés, Javier",2,346,,,,,1.0,427
"Ang, Andrew",2,346,0.0,69,0.24467961648986172,5,2.0,129
"Ang, James",1,939,,,,,1.0,427
"Angel, James J.",2,346,,,,,1.0,427
"Angelini, Paolo",1,939,,,,,1.0,427
"Angeloni, Ignazio",3,149,,,,,1.0,427
"Annaert, Jan",2,346,,,,,1.0,427
"Antweiler, Werner",1,939,,,,,1.0,427
"Aoki, Kosuke",2,346,,,,,1.0,427
"Apel, Mikael",2,346,,,,,1.0,427
"Arping, Stefan",0,1605,,,,,1.0,427
"Arslanalp, Serkan",1,939,,,,,1.0,427
"Aruoba, S. Boraǧan",1,939,,,,,1.0,427
"Aruǧaslan, Onur",2,346,,,,,1.0,427
"Aste, Tomaso",2,346,,,,,1.0,427
"Atanasov, Vladimir",0,1605,,,,,1.0,427
"Atanasova, Christina V.",1,939,,,,,1.0,427
"Athanassakos, George",1,939,,,,,1.0,427
"Attari, Mukarram",2,346,,,,,1.0,427
"Au, Andrea S.",2,346,,,,,1.0,427
"Audrino, Francesco",1,939,,,,,1.0,427
"Avery, Robert B.",2,346,,,,,1.0,427
"Avramov, Doron",0,1605,,,,,1.0,427
"Ayadi, Mohamed A.",1,939,,,,,1.0,427
"Ayers, Benjamin C.",2,346,,,,,1.0,427
"Ayuso, Juan",2,346,,,,,1.0,427
"Aït-Sahalia, Yacine",4,65,,,,,3.0,42
"Bacidore, Jeffrey M.",3,149,,,,,1.0,427
"Baek, Jaeseung",2,346,,,,,1.0,427
"Bailey, Warren",3,149,,,,,1.0,427
"Baker, Malcolm P.",2,346,,,,,3.0,42
"Bakshi, Gurdip S.",2,346,,,,,2.0,129
"Balakrishnan, Narayanaswamy",1,939,,,,,1.0,427
"Bali, Turan G.",3,149,,,,,2.0,129
"Baliga, Sandeep",1,939,,,,,1.0,427
"Ball, Laurence M.",2,346,,,,,2.0,129
"Banasik, John",1,939,,,,,1.0,427
"Banerjee, Priyodorshi",0,1605,,,,,1.0,427
"Banerji, Sanjay",1,939,,,,,1.0,427
"Bange, Mary M.",1,939,,,,,1.0,427
"Bansal, Ravi",3,149,0.045438282647584975,39,0.011194890917790563,27,2.0,129
"Barberis, Nicholas C.",2,346,,,,,2.0,129
"Barclay, Michael J.",2,346,0.0,69,9.481359663152059e-08,130,3.0,42
"Barnes, Colleen",3,149,,,,,1.0,427
"Barone-Adesi, Giovanni",1,939,,,,,2.0,129
"Barrios, Víctor E.",1,939,,,,,1.0,427
"Barron, John M.",1,939,,,,,1.0,427
"Barron, Orie E.",1,939,,,,,1.0,427
"Barry, Christopher B.",1,939,,,,,1.0,427
"Barth, James R.",2,346,,,,,1.0,427
"Bartholdy, Jan",2,346,,,,,1.0,427
"Bartolini, Leonardo",2,346,,,,,1.0,427
"Basak, Suleyman",0,1605,,,,,1.0,427
"Bass, Richard F.",1,939,,,,,1.0,427
"Bates, Thomas W.",1,939,0.0,69,0.00044072506460092915,64,2.0,129
"Batini, Nicoletta",1,939,,,,,1.0,427
