node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,papers,papers_rank
"Abad, Pilar",2,828,,,,,1.0,773
"Abhyankar, Abhay H.",1,1934,,,,,1.0,773
"Abrahamson, Mark",2,828,,,,,1.0,773
"Abreu, Margarida",2,828,,,,,1.0,773
"Acemoglu, Daron",2,828,,,,,1.0,773
"Acharya, Viral V.",12,3,0.21220141725275282,8,2.368623728516219e-06,285,8.0,3
"Adam, Tim R.",0,2900,,,,,1.0,773
"Adam-Müller, Axel F.A.",1,1934,,,,,1.0,773
"Adams, Brian J.",2,828,,,,,1.0,773
"Adams, John C.",2,828,,,,,2.0,292
"Adams, Renée Birgit",1,1934,0.0,306,3.6106429342428065e-06,269,1.0,773
"Adams, Robert M.",1,1934,,,,,1.0,773
"Admati, Anat R.",1,1934,,,,,1.0,773
"Adolfson, Malin",3,388,,,,,1.0,773
"Adrian, Tobias",2,828,0.006655537006121313,190,5.130338780044218e-07,336,3.0,88
"Afonso, Gara",3,388,0.03139698300215834,100,3.9080045116954164e-05,172,3.0,88
"Agarwal, Sumit",7,34,,,,,3.0,88
"Agarwal, Vikas",2,828,,,,,2.0,292
"Aggarwal, Rajesh K.",3,388,,,,,4.0,43
"Aggarwal, Reena",5,104,0.03236857146021924,98,0.00022468917885425324,103,2.0,292
"Aguerrevere, Felipe L.",0,2900,,,,,1.0,773
"Agusman, Agusman",4,185,,,,,1.0,773
"Agyei-Ampomah, Sam",1,1934,,,,,1.0,773
"Agénor, Pierre Richard",1,1934,,,,,1.0,773
"Ahn, Dong Hyun",2,828,,,,,1.0,773
"Ahn, Seoungpil",2,828,,,,,1.0,773
"Ahn, SungYoon",1,1934,,,,,1.0,773
"Ai, Hengjie",0,2900,,,,,1.0,773
"Akbel, Basak",1,1934,,,,,1.0,773
"Akdeniz, Levent",2,828,,,,,1.0,773
"Akhtar, Shumi",3,388,,,,,1.0,773
"Akram, Qaisar Farooq",2,828,,,,,1.0,773
"Aktas, Nihat",3,388,,,,,2.0,292
"Al-Anaswah, Nael",1,1934,,,,,1.0,773
"Al-Yahyaee, Khamis Hamed",2,828,,,,,1.0,773
"Albertazzi, Ugo",1,1934,,,,,1.0,773
"Albuquerque, Rui",3,388,,,,,2.0,292
"Alessandri, Piergiorgio",1,1934,,,,,1.0,773
"Alessie, Rob J.M.",2,828,,,,,1.0,773
"Alexander, Cindy R.",3,388,,,,,1.0,773
"Alexander, Gordon J.",1,1934,,,,,3.0,88
"Alexandros Kostakis, Alexandros",2,828,,,,,1.0,773
"Ali, Ashiq",2,828,0.0,306,9.230799394815136e-07,319,1.0,773
"Aliaga-Díaz, Roger",1,1934,,,,,1.0,773
"Allen, Franklin",4,185,,,,,2.0,292
"Almazan, Andres",3,388,,,,,1.0,773
"Almeida, Caio",1,1934,,,,,2.0,292
"Almeida, Heitor V.",6,58,0.023105175292153588,122,0.04997457430964465,17,3.0,88
