node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
A BEN TAL,2,4750,,,,,1,2092,,
A LANGVARDT,4,3005,1.80767446385957E-08,4764,0.000051242,5109,1,2092,,
"A. Sullivan, Michael A.",1,6254,0,5487,2.49275599187146E-05,5400,1,2092,,
ABBOTT KELLER,3,3496,5.75616424415079E-08,4463,0.0014714542,2246,1,2092,,
ABE FRIEDMAN,3,3496,1.57706928596998E-06,3514,7.29912059428857E-05,4916,1,2092,,
ABEL ELIZALDE,2,4750,2.25959307982446E-08,4707,1.82710995620606E-05,5614,1,2092,,
ABIMANYU YOOPI,2,4750,9.03516385434561E-06,3119,1.89233331292963E-05,5591,1,2092,,
ADAM LUBIN,3,3496,2.95312786628532E-07,4020,0.000249073,4114,1,2092,,
ADAM ZARETSKY,3,3496,0.000001228,3575,5.25492275947454E-06,6059,1,2092,,
ADOLFO CORRALES,3,3496,7.56709316269343E-08,4390,6.55846948243194E-05,4978,1,2092,,
AGUEDA MADOZ,2,4750,2.22418113549124E-06,3421,7.45928055782797E-06,5958,1,2092,,
AHMAD FUAD RAHMANY,2,4750,9.03516385434561E-06,3119,1.89233331292963E-05,5591,1,2092,,
AINO LEVONMAA,1,6254,0,5487,0.0003110474,3918,1,2092,,
AKIKO FUJIMOTO,4,3005,1.45223285417817E-06,3534,0.0008818859,2857,1,2092,,
AL KLEMKOVSKI,2,4750,1.41224567489029E-09,5462,0.0016842052,2089,1,2092,,
ALAN DOUGLAS HARRIS,1,6254,0,5487,0.0005331173,3370,1,2092,,
ALAN SHAFFRAN,2,4750,6.07380199317602E-08,4445,0.0009874894,2718,1,2092,,
ALBERTO NICCOLI,3,3496,1.51146229042642E-06,3523,1.93450889366698E-05,5569,1,2092,,
ALEJANDRO DIAZ DE LEON,2,4750,6.00961375509995E-05,2556,0.000010913,5833,1,2092,,
ALEJANDRO GIL ORTIZ,1,6254,0,5487,0.0005331173,3370,1,2092,,
ALEX REYFMAN,3,3496,4.98931395061607E-08,4554,0.0004512047,3589,1,2092,,
ALEXANDRA WEST,3,3496,0.000000128,4251,0.0004117118,3694,1,2092,,
ALEXANDRE BRUNEL,2,4750,4.51918615964893E-08,4567,8.25918336429968E-05,4829,1,2092,,
ALFRED MURATA,1,6254,0,5487,0.00177828,2034,1,2092,,
ALFREDO FERREIRA,1,6254,,,,,1,2092,,
ALICIA WILLIAMS,3,3496,3.79638019139574E-07,3912,2.09383451732261E-05,5519,1,2092,,
ALLAN MORTENSEN,3,3496,0.000000344,3948,0.0003618914,3789,1,2092,,
ALLEN MCDOWELL,2,4750,0,5487,0.0015532297,2187,1,2092,,
ALLEN SEWARD,1,6254,0,5487,1.14153931630497E-06,6351,1,2092,,
ALPO KUPARINEN,2,4750,6.00961375510022E-05,2552,1.62980168870679E-06,6301,1,2092,,
AMANDA CARMIGNANI,1,6254,0,5487,2.10228522036664E-05,5504,1,2092,,
AMANDA MCCLAIN,2,4750,3.47629704588379E-08,4613,0.0002242387,4198,1,2092,,
AMEDEO DE CESARI,3,3496,2.38155209048154E-08,4703,0.0010731787,2606,1,2092,,
AMR ADDAS,3,3496,5.71513427117554E-08,4509,0.000497872,3495,1,2092,,
AMY CHENG,4,3005,0.0004507888,1562,4.71335001848883E-09,6641,1,2092,,
AMY PETRIELLO,2,4750,0.000000009,4958,6.33388888775982E-07,6455,1,2092,,
ANASTASIOS PLATANIOTIS,3,3496,3.37356703871352E-07,3955,2.33456587142441E-05,5427,1,2092,,
ANDERSON SILVA,3,3496,2.94773766206278E-06,3348,0.0010849441,2585,1,2092,,
ANDRE KURMAN,2,4750,1.07185825581417E-08,4921,7.95838063055001E-05,4860,1,2092,,
ANDREAS SAVVA,2,4750,1.80767446385957E-09,5417,0.0002673352,4042,1,2092,,
ANDREW CAFFREY,3,3496,4.99627017619802E-07,3808,0.0003900174,3739,1,2092,,
ANDREW DUBINSKY,1,6254,0,5487,0.0009143536,2819,1,2092,,
ANDREW FRANKEL,3,3496,2.80910585844939E-06,3362,0.0032677227,1446,1,2092,,
ANDREW GRACIE,5,2663,3.21530656740967E-06,3324,0.0011282696,2555,2,1280,,
ANDREW GUSTAR,3,3496,1.96710463872252E-07,4141,6.63377759773787E-05,4960,1,2092,,
ANDREW HARMSTONE,2,4750,,,,,1,2092,,
ANDREW TUCH,1,6254,0,5487,0.0005331173,3370,1,2092,,
ANDRIS NOBL,3,3496,5.72769750393403E-08,4480,0.0011768404,2490,1,2092,,
ANDY WONG,1,6254,0,5487,0.002837136,1600,1,2092,,
ANIL KAYSHUP,1,6254,0,5487,0.00177828,2034,1,2092,,
ANJO KOETER-KANT,2,4750,0,5487,0.0003310127,3864,1,2092,,
ANN BRADENTON,3,3496,2.37350510655941E-07,4099,0.000290735,3974,1,2092,,
ANNA LUSARDI,2,4750,1.59254209915738E-07,4194,0.000167472,4412,1,2092,,
ANNA MEYENDORFF,2,4750,1.12979653991223E-08,4895,0.000006196,6020,1,2092,,
ANNA RENDINA,2,4750,2.82449134978058E-09,5290,1.7116326407138E-05,5652,1,2092,,
ANNE BAGUETTE,2,4750,1.74311466157887E-08,4786,2.93443981393122E-08,6591,1,2092,,
ANTI RIPATTI,4,3005,1.08460467831574E-08,4907,2.24357380143842E-05,5454,1,2092,,
ANTONELLO D AGOSTINO,2,4750,1.17203126968265E-07,4296,1.06365818918405E-06,6367,1,2092,,
ANTONIO DIEZ DE LOS RIOS,2,4750,7.53197693274821E-09,5010,9.9872267148987E-05,4721,1,2092,,
AOFIE HANLEY,1,6254,0,5487,1.41472094766587E-05,5747,1,2092,,
APOORVA KOTICHA,3,3496,5.85458480999145E-07,3774,0.0009501061,2786,1,2092,,
AREEDAM CHANDA,2,4750,2.51065897758274E-09,5311,7.97841397892294E-05,4843,1,2092,,
ARI JACOBS,2,4750,2.37851903139417E-09,5326,0.0004547964,3578,1,2092,,
ARKADEB CHATTERJEE,3,3496,0.0006011873,1381,1.46463725982205E-09,6646,1,2092,,
ART BUSHONVILLE,3,3496,9.75948120657894E-08,4348,0.0006820983,3105,1,2092,,
ARTO THURLIN,1,6254,0,5487,7.34101312336351E-05,4909,1,2092,,
ARUN NARAYANASAMY,3,3496,3.85637218956708E-07,3900,0.0001429696,4510,1,2092,,
ARY NAIM,3,3496,1.98559604530542E-06,3436,0.0002061843,4243,1,2092,,
ASHLEY POLLET,2,4750,4.5305124407508E-09,5166,0.0008899594,2845,1,2092,,
"ASQUITH, PAUL",6,2400,4.7878359563487E-06,3245,0.0042671399,1223,3,908,,
AUGIO KONG,3,3496,8.59453720554913E-08,4364,0.0005829341,3287,1,2092,,
AUGUSTA MARIA ALJOVIN,1,6254,0,5487,0.0005331173,3370,1,2092,,
AVI NACHMANY,3,3496,4.62243170986431E-07,3831,0.0009707047,2745,1,2092,,
AXEL SPAMANN,1,6254,0,5487,0.0005331173,3370,1,2092,,
AYESHA AFTAB,2,4750,1.29119604561398E-09,5476,0.00185533,1977,1,2092,,
"Aabo, Tom",5,2663,0.0003102962,1788,0.0014670534,2258,2,1280,,
"Aaronson, Daniel",3,3496,3.24661313392361E-08,4644,8.90280572351785E-06,5903,1,2092,,
"Aase, Knut Kristian",2,4750,5.64898269956116E-09,5084,1.34270922049989E-06,6336,1,2092,,
"Abad, Pilar",2,4750,0,5487,1.76038005392195E-05,5637,,,1,725
"Abadie, Alberto",4,3005,8.75578197516169E-06,3122,0.0009223194,2808,1,2092,,
"Abadir, Karim Maher",6,2400,3.23620718450644E-05,2789,0.0007841532,2975,3,908,,
"Abarbanell, Jeffery S.",3,3496,1.05447677058475E-08,4926,0.0001183655,4619,1,2092,,
"Abel, Andrew B.",25,638,0.0004194757,1617,0.0234163577,277,13,149,,
"Abhyankar, Abhay H.",7,2206,0.0012023475,821,6.70992477759853E-05,4954,1,2092,1,725
"Abou-Zied, Khaled",7,2206,3.3893896197367E-07,3953,5.76413397477768E-06,6036,,,1,725
"Abrahamson, Mark",2,4750,0.000000005,5128,9.4356592734972E-05,4755,1,2092,,
"Abramitzky, Ran",1,6254,0,5487,0.0008772707,2865,1,2092,,
