node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,papers,papers_rank
"Abad, Pilar",2,780,,,,,1.0,725
"Abhyankar, Abhay H.",1,1852,,,,,1.0,725
"Abou-Zied, Khaled",1,1852,,,,,1.0,725
"Acemoglu, Daron",2,780,,,,,1.0,725
"Acharya, Viral V.",3,335,,,,,3.0,81
"Adam, Alexandre",2,780,,,,,1.0,725
"Adam, Tim R.",0,2767,,,,,1.0,725
"Adams, Brian J.",2,780,,,,,1.0,725
"Adams, John C.",2,780,0.0,259,,,2.0,258
"Adams, Mike B.",2,780,,,,,1.0,725
"Adams, Renée Birgit",1,1852,,,,,1.0,725
"Admati, Anat R.",1,1852,,,,,1.0,725
"Adrian, Tobias",3,335,,,,,4.0,32
"Agarwal, Sumit",1,1852,,,,,1.0,725
"Agarwal, Vikas",2,780,0.0,259,,,1.0,725
"Agarwal, Vineet",1,1852,,,,,1.0,725
"Aggarwal, Rajesh K.",2,780,,,,,2.0,258
"Aggarwal, Reena",3,335,0.0,259,,,1.0,725
"Aghion, Philippe",1,1852,,,,,1.0,725
"Aguerrevere, Felipe L.",0,2767,,,,,1.0,725
"Agusman, Agusman",3,335,,,,,1.0,725
"Agénor, Pierre Richard",1,1852,,,,,1.0,725
"Ahmed, Shaista",2,780,,,,,1.0,725
"Ahn, Dong Hyun",2,780,,,,,1.0,725
"Ahn, Seoungpil",2,780,,,,,1.0,725
"Ahn, SungYoon",1,1852,,,,,1.0,725
"Ai, Hengjie",0,2767,,,,,1.0,725
"Akdeniz, Levent",2,780,,,,,1.0,725
"Akhigbe, Aigbe O.",1,1852,,,,,1.0,725
"Akram, Qaisar Farooq",3,335,,,,,2.0,258
"Aktas, Nihat",3,335,,,,,2.0,258
"Alavi, Arash",2,780,,,,,1.0,725
"Albertazzi, Ugo",1,1852,,,,,1.0,725
"Albuquerque, Rui",6,54,,,,,4.0,32
"Alessandri, Piergiorgio",1,1852,,,,,1.0,725
"Alessandrini, Pietro",2,780,,,,,1.0,725
"Alexander, Carol O.",3,335,,,,,3.0,81
"Alexander, Cindy R.",3,335,0.0,259,,,1.0,725
"Alexander, Gordon J.",1,1852,,,,,2.0,258
"Ali, Ashiq",2,780,0.0,259,,,1.0,725
"Aliaga-Díaz, Roger",1,1852,,,,,1.0,725
"Alizadeh, Amir H.",2,780,,,,,1.0,725
"Allayannis, George",2,780,,,,,1.0,725
"Almazan, Andres",4,176,,,,,2.0,258
"Almeida, Caio",1,1852,,,,,3.0,81
"Almeida, Heitor V.",2,780,0.0,259,,,1.0,725
"Alpanda, Sami",1,1852,,,,,1.0,725
"Alsakka, Rasha",1,1852,,,,,1.0,725
"Altavilla, Carlo",1,1852,,,,,1.0,725
"Amihud, Yakov",2,780,,,,,1.0,725
"Amit, Raphael Raffi",1,1852,,,,,1.0,725
"Ammann, Manuel",2,780,,,,,1.0,725
"Ammer, John",2,780,,,,,1.0,725
"Amromin, Gene",1,1852,,,,,1.0,725
"An, Yunbi",2,780,,,,,1.0,725
"Andersen, Torben G.",1,1852,,,,,1.0,725
"Anderson, Bing",3,335,7.4947142541575945e-06,249,,,1.0,725
"Anderson, Evan W.",2,780,0.0,259,,,1.0,725
"Anderson, Ronald C.",2,780,,,,,1.0,725
"Andrade, Sandro C.",3,335,0.10526529788284188,43,,,2.0,258
"Andreou, Panayiotis C.",2,780,,,,,1.0,725
"Andries, Natalia",1,1852,,,,,1.0,725
"Andrikopoulos, Andreas",0,2767,,,,,1.0,725
"Andrés, Pablo De",1,1852,,,,,1.0,725
"Ang, Andrew",6,54,0.004907065543248446,168,,,3.0,81
"Angelelli, Enrico",2,780,,,,,1.0,725
"Angelidis, Timotheos",1,1852,,,,,1.0,725
"Angerer, Xiaohong",1,1852,,,,,1.0,725
"Annaert, Jan",2,780,,,,,1.0,725
"Apilado, Vincent P.",1,1852,,,,,1.0,725
"Arena, Marco",0,2767,,,,,1.0,725
"Arisoy, Yakup Eser",0,2767,,,,,1.0,725
"Armenter, Roc",0,2767,,,,,1.0,725
"Armesto, Michelle T.",3,335,,,,,1.0,725
"Arquette, Gregory C.",2,780,,,,,1.0,725
"Artuç, Erhan",1,1852,,,,,1.0,725
"Aruoba, S. Boraǧan",0,2767,,,,,1.0,725
"Asaftei, Gabriel",0,2767,,,,,1.0,725
"Ascari, Guido",1,1852,,,,,1.0,725
"Asdrubali, Pierfederico",1,1852,,,,,2.0,258
"Asem, Ebenezer",0,2767,,,,,1.0,725
"Ashcraft, Adam B.",2,780,,,,,3.0,81
"Ashton, John K.",1,1852,,,,,1.0,725
