node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,papers,papers_rank
"(James) Huang Z., Zhijian",1,1304,,,,,1.0,544
"ASQUITH, PAUL",4,112,,,,,2.0,170
"Abaffy, József",4,112,,,,,1.0,544
"Abhyankar, Abhay H.",2,499,,,,,1.0,544
"Acharya, Viral V.",7,20,0.17174846892868545,20,0.0014390497875896502,93,5.0,16
"Ackert, Lucy F.",1,1304,,,,,1.0,544
"Adam, Klaus",1,1304,,,,,1.0,544
"Adam, Tim R.",3,212,0.05201288712158593,44,5.606285289162589e-06,171,2.0,170
"Adams, Mike B.",1,1304,,,,,1.0,544
"Adams, Renée Birgit",2,499,0.0,138,3.832570924257184e-05,139,2.0,170
"Agarwal, Sumit",3,212,,,,,2.0,170
"Aggarwal, Reena",3,212,0.0004934258264882594,125,0.05557468591131082,29,2.0,170
"Aguiar-Conraria, Luís",1,1304,,,,,1.0,544
"Ahn, HeeJoon",3,212,,,,,1.0,544
"Ahn, Seoungpil",2,499,,,,,1.0,544
"Ahn, Seung Chan",1,1304,,,,,1.0,544
"Aisen, Ari",1,1304,,,,,1.0,544
"Aivazian, Varouj A.",2,499,,,,,1.0,544
"Akhigbe, Aigbe O.",2,499,,,,,2.0,170
"Al-muharrami, Saeed M.",2,499,,,,,1.0,544
"Albanese, Claudio",1,1304,,,,,1.0,544
"Alderson, Michael J.",2,499,,,,,1.0,544
"Alevy, Jonathan E.",2,499,,,,,1.0,544
"Alexander, Carol O.",1,1304,,,,,1.0,544
"Alexander, Gordon J.",5,53,,,,,4.0,29
"Alexander, S.",2,499,,,,,1.0,544
"Allen, Franklin",4,112,0.015151075378051257,78,2.3458872083946338e-11,256,2.0,170
"Allen, Linda",2,499,,,,,2.0,170
"Almeida, Heitor V.",6,29,0.037689025629117925,51,0.0002592806339972686,113,7.0,5
"Alti, Aydoǧan",0,2083,,,,,2.0,170
"Ambrose, Brent William",3,212,,,,,2.0,170
